time_ms,relative_time_s,setpointC,temp_raw,temp_filt,pwm,error,integrator
1021,0.0,20.0,20.1,20.1,3,0.1,0.1
2000,0.979,20.0,20.1,20.1,3,0.1,0.2
3022,2.001,20.0,20.0,20.02,2,0.02,0.22
4000,2.979,20.0,20.0,20.01,1,0.01,0.23
5021,4.0,20.0,20.0,20.0,1,0.0,0.23
6000,4.979,20.0,20.0,20.0,1,0.0,0.23
7021,6.0,20.0,20.2,20.15,5,0.15,0.38
8000,6.979,20.0,20.2,20.19,7,0.19,0.57
9022,8.001,20.0,20.0,20.05,4,0.05,0.62
10000,8.979,20.0,20.0,20.01,3,0.01,0.63
11022,10.001,20.0,20.2,20.15,7,0.15,0.78
12000,10.979,20.0,20.2,20.19,9,0.19,0.97
13022,12.001,20.0,20.0,20.05,6,0.05,1.02
14000,12.979,20.0,20.0,20.01,5,0.01,1.03
15022,14.001,20.0,20.1,20.08,7,0.08,1.11
16000,14.979,20.0,20.1,20.09,8,0.09,1.2
17021,16.0,20.0,20.2,20.17,10,0.17,1.38
18000,16.979,20.0,20.2,20.19,12,0.19,1.57
19021,18.0,20.0,20.1,20.12,11,0.12,1.69
20000,18.979,20.0,20.1,20.11,11,0.11,1.8
21021,20.0,20.0,19.9,19.95,8,-0.05,1.75
22000,20.979,20.0,19.9,19.91,7,-0.09,1.66
23021,22.0,20.0,20.2,20.13,12,0.13,1.79
24000,22.979,20.0,20.2,20.18,14,0.18,1.97
25022,24.001,20.0,20.0,20.04,11,0.04,2.02
26000,24.979,20.0,20.0,20.01,10,0.01,2.03
27022,26.001,20.0,20.4,20.31,18,0.31,2.33
28000,26.979,20.0,20.4,20.38,21,0.38,2.71
29022,28.001,20.0,20.6,20.55,27,0.55,3.26
30000,28.979,20.0,20.6,20.59,31,0.59,3.84
31022,30.001,20.0,20.9,20.82,40,0.82,4.67
32000,30.979,20.0,20.9,20.88,45,0.88,5.55
33021,32.0,20.0,20.9,20.9,50,0.9,6.45
34000,32.979,20.0,20.9,20.9,55,0.9,7.35
35021,34.0,20.0,20.9,20.9,59,0.9,8.25
36000,34.979,20.0,20.9,20.9,64,0.9,9.15
37021,36.0,20.0,21.0,20.98,70,0.98,10.12
38000,36.979,20.0,21.0,20.99,75,0.99,11.12
39021,38.0,20.0,20.9,20.92,79,0.92,12.04
40000,38.979,20.0,20.9,20.91,83,0.91,12.94
41022,40.001,20.0,20.9,20.9,87,0.9,13.84
42000,40.979,20.0,20.9,20.9,92,0.9,14.75
43022,42.001,20.0,20.8,20.82,94,0.82,15.57
